,,,,,,,,
,Station,Total Biomass (g/m3),Fish (%),Cephalopod (%),Krill (%),Mixed/Other Crustaceans (%),Mixed Fish and Invertebrates (%),
,1,0.01,73.90,7.39,-,1.90,16.81,
,3,0.01,93.69,4.07,-,2.24,-,
,4,0.01,95.26,2.51,-,2.23,-,
,5,0.01,83.92,14.63,0.41,1.04,-,
,6,0.02,92.03,7.02,-,0.95,-,
,7,0.01,74.61,0.61,0.71,0.00,24.07,
,9,0.02,97.06,2.65,-,0.29,-,
,11,0.01,90.52,6.88,0.58,2.02,-,
,14,0.01,47.61,0.69,49.36,2.33,-,
,15,0.05,73.47,3.71,21.45,0.00,1.36,
,16,0.01,87.46,2.18,8.69,1.67,-,
,17,0.01,71.66,4.55,22.40,1.39,-,
,18,0.01,80.06,2.60,15.89,1.44,0.01,
,19,0.01,57.85,1.82,37.64,2.69,-,
,20,0.02,63.14,1.69,0.69,1.04,33.43,
,21,0.00,82.84,7.24,3.99,5.88,0.06,
,22,0.00,90.58,1.93,3.46,2.26,1.77,
,23,0.01,81.65,5.36,8.64,2.60,1.75,
,24,0.01,86.31,4.37,2.05,3.33,3.94,
,25,0.02,92.73,2.92,1.67,0.89,1.79,
,26,0.01,92.28,3.32,2.03,2.34,0.03,
,27,0.01,78.69,5.49,0.93,1.48,13.41,
,28,0.00,70.73,20.43,2.59,6.25,-,
,29,0.01,75.27,1.79,4.78,2.55,15.61,
,30,0.01,83.03,1.64,1.11,4.32,9.89,
,31,0.02,93.01,3.69,1.97,1.33,-,
,32,0.01,87.36,6.75,3.24,2.31,0.35,
,34,0.01,87.45,7.71,2.59,1.91,0.34,
,35,0.01,66.12,19.07,1.67,3.12,10.03,
,36,0.01,87.57,7.53,2.08,2.82,-,
,37,0.01,87.05,5.00,2.55,5.40,-,
,38,0.01,89.45,5.92,0.85,1.18,2.61,
,39,0.01,88.37,3.01,5.61,3.01,-,
,40,0.02,69.91,5.11,22.96,0.67,1.35,
,,,,,,,,