midoc.stn,no.problems,bestley.zone,zone.notes
MIDOC01,F,Southern,
MIDOC02,F,Southern,
MIDOC03,T,Southern,
MIDOC04,T,Southern,
MIDOC05,F,Subpolar,
MIDOC06,T,Antarctic ACC,may be Antarctic - KP
MIDOC07,T,Antarctic ACC,
MIDOC08,F,Antarctic ACC,May be Antarctic - KP
MIDOC09,F,Antarctic ACC,May be Antarctic - KP
MIDOC10,F,Antarctic KP,
MIDOC11,T,Subpolar,
MIDOC12,F,Subpolar,
MIDOC13,F,Subpolar,
MIDOC14,T,Subpolar - ASF,
MIDOC15,T,Subpolar - ASF,
MIDOC16,T,Subpolar,
MIDOC17,T,Subpolar,
MIDOC18,T,Subpolar,
MIDOC19,T,Antarctic KP,
MIDOC20,T,Antarctic KP,
MIDOC21,T,Antarctic KP,
MIDOC22,T,Antarctic KP,
MIDOC23,T,Antarctic KP,
MIDOC24,T,Antarctic KP,
MIDOC25,T,Southern,
MIDOC26,T,Antarctic FTJ,
MIDOC27,T,Antarctic FTJ,
MIDOC28,T,Southern,
MIDOC29,T,Antarctic KP,
MIDOC30,T,Antarctic FTJ,
MIDOC31,T,Subpolar,
MIDOC32,T,Antarctic KP,
MIDOC33,F,Antarctic ACC,
MIDOC34,T,Antarctic ACC,
MIDOC35,T,Antarctic ACC,
MIDOC36,T,Antarctic ACC,
MIDOC37,T,Antarctic ACC,
MIDOC38,T,Subpolar,
MIDOC39,T,Subpolar,
MIDOC40,T,Subpolar,